Vivado Simulator 2019.1
Time resolution is 1 ps
Time =                    0 | reset = 1 | sensor = 0000 | AF = x | BF = x | LED = 0 | SF = x | anodes = xxxx | cathodes = xxxxxxx
Time =          52000030000 | reset = 0 | sensor = 1001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =          54000030000 | reset = 0 | sensor = 1001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =          54000050000 | reset = 0 | sensor = 1001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =          55000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =          55000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1111010
Time =          56000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =          58000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =          60000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =          60000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1111010
Time =          62000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =          64000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =          66000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =          66000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1111010
Time =          68000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =          70000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =          72000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =          72000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1111010
Time =          74000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =          76000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =          78000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =          78000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1111010
Time =          80000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =          82000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =          84000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =          84000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1111010
Time =          86000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =          88000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =          90000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =          90000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1111010
Time =          92000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =          94000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =          96000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =          96000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1111010
Time =          98000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =         100000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =         102000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
