Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_3 collision detected at time: 415000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 425000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 435000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 445000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 455000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 465000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 475000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 485000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 495000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 505000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 515000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 525000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 535000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 545000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 555000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 565000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 575000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 585000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 595000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 605000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 615000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 625000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
